Akkusativ har to hovedfunktioner:,Direkte objekt og i adverbialled.
"Direkte objekt optræder efter en bestemt type verber, nemlig...",De transitive verber (11.3)
I adverbielle forbindelser bruges akk til at angive...,Forhold 'med hensyn til' verbets handling.
Giv nogle betegnelser på adverbiel brug af akk (12.4.2)!,"Henseende, rum, retning, tid, omfang, måde samt præpositionsforbindelser med akk."
Hvad er genitivs to hovedfunktioner?,"(1) sammenhængs- eller underordningskasus \\ (2) adverbiel."
"Hvilken type genitiv er (α) συμπόσιον θεῶν (β) περὶ τῶν θεῶν, (γ) γένεσιϛ τῶν θεῶν, (δ) πρὸϛ τῶν θεῶν, (ε) πολλοὶ τῶν θεῶν?","(a) possesiv \\ (b) adverbiel \\ (c) objektiv \\ (d) adverbiel \\ (e) partitiv."
Dativ har også to hovedfunktioner:,(1) kasus for indirekte obj \\ (2) adverbiel kasus
Hvilken funktion har dativ i denne sætning: παρέχω σοι τὴν ἀρχήν (jeg tilbyder dig magten)?,Indir obj.
Ledfunktion af dativ:  δουλεύω τῷ κυρίῳ (jeg træller for herren)?,Indir obj.
Ledfunktion af dativ: τῷ στύλῳ γράϕω τὴν ἐπιστολήν (jeg skriver brevet med griflen)?,Adverbiel (instrumentalis)
Ledfunktion af dativ: τῷ δήμῳ ἔδοξε (folket besluttede)?,Indir obj.
Ledfunktion af dativ: οἱ ἵπποι ἐν τῷ πεδίῳ εἰσίν (hestene er på marken)?,Adverbiel (præpositionsforbindelse)
Samtlige ledfunktioner: ἡ βάρβιτοϛ ταῖϛ χορδαῖϛ ἔρωτα ἠχεῖ (lyrens strenge genlyder af kærlighed)?,"ἠχεῖ: verballed \\ ἡ βάρβιτοϛ: subj \\ ταῖϛ χορδαῖϛ: adv. (instr) \\ ἔρωτα: dir obj."
Samtlige ledfunktioner: τὸν ἥλιον ἡ σελήνη πίνει (månen drikker solen),"πίνει: verballed \\ τὸν ἥλιον: dir obj \\ ἡ σελήνη: subj"
Samtlige ledfunktioner: ἐν τοῖϛ ῥόδοιϛ εὑρίσκω τὸν ῎Ερωτα (jeg finder Eros i roserne).,"εὑρίσκω: verballed \\ ῎Ερωτα: dir obj \\ τοῖϛ ῥόδοιϛ adv ('styret af' ἐν) "
Analysér τοὺϛ ἆθλουϛ τοῦ ᾿Ηρακλέουϛ ᾆδω (jeg besynger Herakles' arbejder)!,"ᾆδω: verballed \\ τοὺϛ ἆθλουϛ τοῦ ᾿Ηρακλέουϛ: dir obj (τοῦ ᾿Ηρακλέουϛ: poss gen til τοὺϛ ἆθλουϛ)"
Analysér ἡ μέλιττα πατάσσει με τὸν δάκτυλον (bien stikker mig på fingeren)!,"πατάσσει: verballed \\ ἡ μέλιττα: subj \\ με: dir obj \\ τὸν δάκτυλον: adv (henseende)."
